Name	Type	Set 	Cost	Damage	Momentum	Target	Traits	Wrestler Kit	Signature For	Game Text	ImageFile
Until They Get Punched in the Face	Response	Advanced 	8	1	3		Punch		Mike Tyson	Reverse any Action. Special - You may Commit a Punch as an additional cost, if you do Reverse any card instead. Mike Tyson - Combo Attack	Until They Get Punched in the Face
Baddest Hands on the Planet 	Boon	Advanced	0	0	0					Permanent. Ongoing - Your Punches are +1D/+1M.	Baddest Hands on the Planet 
Beast 	Boon	Advanced	0	0	3					Ongoing - Your maneuvers are +1D	Beast 
Bell Ringer	Injury	Advanced	0	0	0					Ongoing - Your Market is -1.	Bell Ringer
Blinded	Injury	Advanced	0	0	0					Ongoing - Your Hand is -1.	Blinded
Father	Action	Advanced	0	0	1				The Patriarchy, Christian Cage, Patriarch	Enters - Look at the top two cards of your Draw deck. Put one in your hand, discard the rest.  The Patriarchy - You may look at an additional card. Christian Cage - You may look at an additional card.  The Patriarch - You may look at an additional card. 	Father
Forethought	Action	Advanced	0	0	1					Uses 3. Action - Commit and remove a Use Counter: Scout	Forethought
Inspired	Boon	Advanced	0	0	1					Ongoing - Your Hand is +1.	Inspired
Throw Money Around	Action	Advanced	0	0	1					Enters - Purchase a card, refill your Market. 	Throw Money Around
Anger the Crowd	Action	Advanced	1	0	5					Special - +3M outside the Recovery Phase. 	Anger the Crowd
Devoted	Action	Advanced	1	0	2					Relentless. Enters - Discard the bottom card of your Draw deck then Scout. 	Devoted
Feeling Refreshed	Action	Advanced	1	0	2					Enters - Uncommit a card in your ring and gain 1 Stamina. 	Feeling Refreshed
Go For a Cheap Pop	Action	Advanced	1	0	0					Uses 4. Special - This is +1M for each Use Counter on it and when this becomes committed for any reason remove a Use Counter. 	Go For a Cheap Pop
Rally the Crowd 	Action	Advanced	1	0	2					Permanent, Sturdy	Rally the Crowd 
Ready Up	Action	Advanced	1	0	2					Sudden. Enters - Uncommit a card	Ready Up
Sniper	Action	Advanced	1	0	3					Enters - Choose a Strike in your discard pile. If this is the Tie-Up phase and it has T:H you may play that card. Otherwise put it beneath your draw deck and draw a card. 	Sniper
Fatigue	Action	Advanced	2	0	2					Enters - Put two -1M counters on a non-persona card in Opponent's Ring. If that card has 0M, put it into opponent's discard pile. 	Fatigue
Hide Under the Ring	Action	Advanced	2	0	2					Hidden.  Ongoing - Your maneuvers played face down have Pressing	
Sacrificing	Action	Advanced	2	0	3					Enters - Put a card from your ring into your Discard. Each player loses Stamina equal to its Momentum, you may also Tuck cards from your discard equal to its cost. 	Sacrificing
Shake It Off 	Action	Advanced	2	0	2					Ongoing - Choose a card in opponent's ring. That card loses all abilities. 	Shake It Off 
Slip 	Response	Advanced	2	0	3					Reverse any Strike. If it is a Punch, Lariat, or Kick, draw a card	Slip 
Steal the Mic	Response	Advanced	2	0	1					Sudden. Reverse any Action. Enters - Choose one - Attempt to Anger the Crowd or Attempt to Rally the Crowd 	Steal the Mic
Stuff	Response	Advanced	2	0	3					Reverse any Grapple. If it's a Slam, Suplex, or Takedown draw a card	Stuff
Cash Cannons	Action	Advanced	3	0	2					Enters - Market two cards	Cash Cannons
Catch the Ropes	Response	Advanced	3	0	2					Rope Break. Reverse any Strike, High Risk, Suplex, or Set-Up	Catch the Ropes
Friend of the Shadows	Action	Advanced	3	0	1					Hidden. Ongoing - Your face down cards have Permanent 	Friend of the Shadows
Locked Out 	Action	Advanced	3	0	2					Ongoing - Choose a card in opponent's market. They can't purchase that card. 	Locked Out 
Respected	Action	Advanced	3	0						Ongoing - Your cards played from outside your hand gain Pressing	Respected
Shut the Fuck Up	Response	Advanced	3	0	2					Permanent, Relentless. Reverse any Action. 	Shut the Fuck Up
Skilled Boxer	Action	Advanced	3	0	2					Enters - You may purchase a Punch from your Market.  Ongoing - Your Punches are -1C. 	Skilled Boxer
Study the Tapes 	Action	Advanced	3	0	2					Permanent. Enters - Search your Purchase Deck for a Reversal card and put it in your Market. 	Study the Tapes 
Break Concentration 	Response	Advanced	4	0	3					Reverse any Action or Submission 	Break Concentration 
BTE	Action	Advanced	4	0	2			TRUE	The Elite	Enters - Put a card from your discard beneath your draw or purchase deck. Then draw two cards and gain 2 Stamina. 	BTE
Compassionate	Action	Advanced	4	0						Enters - Each player puts a card from their Ring into their discard, they also Tuck a card from their Market, refill each players Market. 	Compassionate
Cowboy Shit	Response	Advanced	4	0	2			TRUE	Adam Page	Permanent. Reverse any maneuver. Response - Commit and discard a card to reduce the damage of the played maneuver by the discarded Momentum, this loses Permanent. 	Cowboy Shit
Crowd Favorite	Action	Advanced	4	0	0					Permanent. Action - Commit and choose one: -Gain 1 Stamina, then you may Cycle a card. OR -Attempt to Get a Pop, this loses Permanent.	Crowd Favorite
Cut the Angle	Response	Advanced	4	0	3					Reverse any Action or Grapple	Cut the Angle
Enough of this Gay Banter	Response	Advanced	4	0	2					Reverse any Action. Enters - You may put a non-maneuver card from your discard beneath your Purchase Deck. If you do, gain Stamina equal to it's Momentum. 	Enough of this Gay Banter
I Am Your Father	Action	Advanced	4	0	3			TRUE	The Patriarchy, Christian Cage	Ongoing - Your maneuvers played from outside your hand have Cunning Attack.  Enters - You may Attempt to Draw Heat.  Christian Cage Enters - Non-Maneuver cards in your Market gain Sudden this turn (this only gives this to cards currently in your Market)	I Am Your Father
Lights Go Out	Action	Advanced	4	0	2					Hidden, Permanent.  Ongoing - Your face down cards have Permanent.  Turned - Play a card with Hidden from your discard face down. 	
Maximum Effort 	Action	Advanced	4	0	3					Enters - Play a maneuver from hand. It's Enters abilities trigger an additional time.	Maximum Effort 
Ripcord	Grapple	Advanced	4	0	2		Set-up			Enters - Choose one: Play a maneuver from your Market by paying for it. If it's reversed, Tuck it. OR Attempt to Lariat opponent 	Ripcord
Seize the Initiative	Response	Advanced	4	0	3					Reverse any Action or Strike	Seize the Initiative
Spit at Opponent 	Action	Advanced	4	0	2					Cycling. Ready Enters - Opponent chooses one: Discard a Response or pay 4M and lose 4 Stamina	Spit at Opponent 
Spray Mist	Action	Advanced	4	0	3					Hidden  Enters - Opponent discards a card.  Turned - Create a Blinded token in Opponent's Ring.	Spray Mist
Versatile Striker	Action	Advanced	4	0	2					Enters - Reveal cards from the top of your Draw Deck until you reveal a Strike, play that card. If you have a Grapple in your ring it gets +3D, if you have a Submission in your ring it gains "Enters - Stun opponent then Scout." 	Versatile Striker
Word of the Day	Action	Advanced	4	0	2			TRUE	The Conglomeration	Enters - Choose any number of cards from your discard and market. You may pay 1M for each card to Tuck that card. If cards from your discard are tucked this way draw a card and gain 2 Stamina. Then refill your Market. 	Word of the Day
Baddest Plan on the Planet 	Action	Advanced	5	0	4		Punch	TRUE	Mike Tyson	Ongoing - Your gain Punches "Enters - Stun opponent then Scout". Enters - Create a Baddest Hands on the Planet Token in your Ring. 	Baddest Plan on the Planet 
Blown Spot	Response	Advanced	5	0	3					Reverse any maneuver not played from hand. Tuck that card.	Blown Spot
Disarmer	Action	Advanced	5	0	2					Permanent. Ongoing - Your maneuvers with T:A are +1D.	Disarmer
Elevated	Action	Advanced	5	0	3			TRUE	Will Ospreay	Hidden  Enters - You may look at the top four cards of your Purchase Deck and Tuck any of them. Put the rest back in any order.  Turned - Play the top card of your Purchase Deck face down. If it's reversed, Tuck it. 	Elevated
Generous	Action	Advanced	5	0	2				The Patriarchy	Sudden. Enters - Each player draws three cards and gains 3 Stamina.   The Patriarchy - Has Relentless. 	Generous
Headhunter	Action	Advanced	5	0	2					Permanent. Ongoing - Your maneuvers with T:H are +1D.	Headhunter
Joe is Gonna Kill You	Action	Advanced	5	0	2			TRUE	Samoa Joe 	Ready Enters - Draw two cards. Recovery Enters - You may tuck a  card from your discard. If you do search your Purchase Deck for a card that shares a type with the tucked card and put it in your Market. If you don't, your Hand is +2 this turn. 	Joe is Gonna Kill You
Learning Moment	Response	Advanced	5	0	5					Resilient, Relentless Reverse any maneuver of 4C or less. Special - Can't be played from hand and if this would be put into your Discard from your Ring, put it beneath your draw deck instead. 	Learning Moment
Man Can't Breath Can't Fight	Action	Advanced	5	0	2					Permanent. Ongoing - Your maneuvers with T:T are +1D.	Man Can't Breath Can't Fight
Man Can't Stand, Can't Fight	Action	Advanced	5	0	2					Permanent. Ongoing - Your maneuvers with T:L are +1D.	Man Can't Stand, Can't Fight
Nope	Response	Advanced	5	0	4			TRUE	Samoa Joe 	Reverse any maneuver or action. Ignore any additional costs to play this reversal (this ignores Finisher and Pressing, etc...) 	Nope
Repose	Response	Advanced	5	0	3					Hidden. Reverse any Strike. If played from Ring, reverse any maneuver	Repose
Survive If I Let You	Response	Advanced	5	0	3		Suplex	TRUE	Taz	Combo Attack.  Reverse any card. Enters - Attempt to Suplex opponent. 	
Courageous	Action	Advanced	6	0	4				Patriarch	Resilient, Relentless. Enters - You may look at the top three cards of your Draw Deck. Tuck one, discard one, put one in your hand.   Patriarch Trigger - When discarded, Scout.	Courageous
Cunning Striker 	Action	Advanced	6	0	2					Tie-Up Enters - Play a Strike from hand or discard. If played from hand it gains Cunning Attack	Cunning Striker 
Educated Feet 	Action	Advanced	6	0	3					Ongoing - Your Kicks are +2D. Tie-Up Enters - Give a Kick in your Market Sudden this turn, if you can't draw a card. Recovery Enters - Put up to two Kicks from your discard beneath your draw deck then gain 1 Stamina for each Kick in your ring.	Educated Feet 
Feign	Strike	Advanced	6	0	3	-				Enters - Create a Sucker Punch token in your Market. Ongoing - Punches in your Market have Echo. 	Feign
Focused Submissionist 	Action	Advanced	6	0	3					Tie-Up Enters - Play a Submission from hand or discard. If played from hand it gains Focus Attack. If reversed being played from discard, put it beneath your draw deck. 	Focused Submissionist 
Gimmick Infringement	Action	Advanced	6	0	2				Taz	Enters - Choose a card in opponent's ring, Attempt a copy of that. Taz - That token gains Permanent this turn. 	
Graphics Mistake	Action	Advanced	6	0	3					Enters - Opponent discards a card, then Tucks a card from both their discard and market. 	
Hold Onto the Ropes	Response	Advanced	6	0	4					Rope Break, Resilient. Reverse any Submission, or Reverse any maneuver if you pay Momentum equal to its cost. 	Hold Onto the Ropes
I Think That Just Made Him Mad	Response	Advanced	6	0	10					Resilient. This card can not be played. 	I Think That Just Made Him Mad
Powerful Grappler	Action	Advanced	6	0	3					Tie-Up Enters - Play a Grapple from hand or discard. If played from hand it gains Power Attack. If reversed being played from discard, put it beneath your draw deck. 	Powerful Grappler
Loved	Action	Advanced	7	0	2				Christian Cage, Patriarch	Relentless. Enters - Opponent Commits a card in their ring and tucks a card from their discard.  Christian Cage - Gain Stamina equal to the Momentum of the committed card.  Patriarch - You may Purchase a card with cost equal to or less than the Momentum of the Tucked card. 	Loved
Maintain Hold	Action	Advanced	7	0	2					Follow-Up - Enters - When played after a Submission Choose one: Attempt the Submission this followed or Try to Submit Opponent using the Followed Submission	Maintain Hold
Bitch	Response	Advanced	8	0	4			TRUE	Kazuchika Okada	Reverse any card. Special - If this would be put into your Discard from anywhere, shuffle it into your draw deck instead. 	Bitch
Family Portrait	Action	Advanced	8	0	2			TRUE	Don Callis Family	Ongoing - Whenever you Tuck a card, opponent must also Tuck a card from their discard. 	
Olympic Bronze Boxer	Action	Advanced	8	0	4			TRUE	Anthony Ogogo	Ongoing - Your Punches have Sudden. 	Olympic Bronze Boxer
Rainmaker Pose	Action	Advanced	8	0	3			TRUE	Kazuchika Okada 	Enters - Pay X Momentum to look at the top X cards of your Draw Deck, you may Tuck any number of those cards.  Special - If this would be put into your Discard from anywhere shuffle it into your Draw Deck instead. 	Rainmaker Pose
Selfless	Action	Advanced	8	0	4				Christian Cage	Ongoing - Opponent's Hand, Hold, and Market are all +1.  Enters - Draw three cards and gain 3 Stamina. 	Selfless
Wise	Action	Advanced	9	0	4				Christian Cage	Permanent.  Ongoing - Your cards are -1C.  Christian Cage Enters - Attempt to Anger the Crowd. 	Wise
Grit and Determination 	Response	Advanced	10	0	3					Resilient. Reverse any maneuver of 8D or more. Enters - Attempt to Rally The Crowd. 	Grit and Determination 
Inspirational	Action	Advanced	10	0	5				The Patriarchy	Permanent, Resilient. Ongoing - Your Hand is +1.  The Patriarchy - When this is discarded, draw a card. 	Inspirational
Lights Out	Action	Advanced	12	0	2					Ongoing - Your Punches have Sudden and +2M.	Lights Out
Win If You Can	Action	Advanced	13	0	6			TRUE	Taz	Resilient. 	
Sunglasses	Action	Advanced	6	0	4		Item			(Sloth) Ready Enters - Draw three cards then discard a card.   Staggered - Your (Slothx2 needed) cards have Relentless. 	Sunglasses
Brain Fog	Injury	Advanced	X	0	0					Nothing	Brain Fog
Adam Copeland Wrestler  Wrestler	Wrestler	Advanced			4			TRUE	Adam Copeland	You may have an additional copy of cards in your draw and purchase decks.	Adam Copeland
Adam Page Wrestler	Wrestler	Advanced			4			TRUE	Adam Page	Trigger - When your opponent hits with two consecutive maneuvers Scout and Attempt to Get a Pop. 	Adam Page
Angelo Parker Manager 	Manager	Advanced			3			TRUE	Angelo Parker, Ruby Soho	Ruby Soho - Your Starting Hand is +1 (this does not effect your hands after your opening hand).  Action - Commit : Choose two cards in your Market. Purchase one, Tuck the other, then refill your Market (you must pay for the card you purchased). 	Angelo Parker
Angelo Parker Wrestler	Wrestler	Advanced			4			TRUE	Angelo Parker	Ongoing - When you purchase a card you may also Tuck a card from your Market and replace it	Angelo Parker
Anthony Bowens Wrestler	Wrestler	Advanced			5			TRUE	Anthony Bowens	Tie-Up Action - Commit and discard a card : Play a maneuver from your hand, any Enters abilities on that card trigger an additional time 	Anthony Bowens
Anthony Ogogo Manager	Manager	Advanced			3		Boxer	TRUE	Anthony Ogogo	Ongoing - During your Recovery Phase your Punches are -1C. 	Anthony Ogogo
Anthony Ogogo Wrestler	Wrestler	Advanced			3		Boxer	TRUE	Anthony Ogogo	Your Punches are -1C.	Anthony Ogogo
Beth Copeland Manager	Manager	Advanced			3			TRUE	Beth Copeland	Ongoing - Cards in your Market have Sudden if there is a copy of that card in your ring. 	Beth Copeland
Big Stoke Manager	Manager	Advanced			3			TRUE	Stokely Hathaway	Ongoing - Your Market is +1.	Big Stoke
Blackpool Combat Club 	Faction	Advanced			3			TRUE	Blackpool Combat Club	Flip - Play a maneuver from your discard. It gains +3D and Permanent this turn.	Blackpool Combat Club 
By God 	Call Name	Advanced			1			TRUE	By God, Don Callis 	Your Starting Draw deck may include up to 3 cost of any cards. Don Callis - You may also include one copy of Will of the Invisible Hand. 	By God 
Christian Cage Manager	Manager	Advanced			4			TRUE	Christian Cage	Ongoing - Your cards played from outside your hand are +1D (this affects Tokens being Attempted)	Christian Cage
Create-a-Wrestler Wrestler	Wrestler	Advanced			3			TRUE	Create a Wrestler 	For your Kit choose one non-Kit Maneuver, Action, and Response. Those gain your logo, the maneuver gains Finisher. You can not include additional copies of those cards.	Create-a-Wrestler
Daddy Magic	Call Name	Advanced			2			TRUE	Daddy Magic	Ongoing - Your Market is +1 if it contains an Action card	Daddy Magic
Don Callis Family 	Faction	Advanced			3			TRUE	Don Callis Family, Don Callis 	Flip - Choose up to three cards from your discard. Tuck one, put one beneath your draw deck, put one in your hand. Don Callis - Pick a fourth card, and any of the three modes. 	Don Callis Family 
Hangman	Call Name	Advanced			2			TRUE	Hangman	Your Starting Draw Deck may contain one copy of the card Running Lariat and up to 3 cost of other cards. 	Hangman
Iron	Call Name	Advanced			3		Boxer	TRUE	Iron	Your starting draw deck may contain up to 4 cost of Punches and 3 cost of any other cards. 	Iron
Kazuchika Okada Wrestler	Wrestler	Advanced			8			TRUE	Kazuchika Okada	None, isn't the Momentum enough? 	Kazuchika Okada
Kenny Omega Manager	Manager	Advanced			3			TRUE	Kenny Omega	Ready Action - Commit : Tuck a card from your hand draw two cards	Kenny Omega
Maxwell Jacob Friedman Wrestler	Wrestler	Advanced			4			TRUE	MJF	Ongoing - Your Hand is +1.	Maxwell Jacob Friedman
Mike Tyson Manager	Manager	Advanced			3		Boxer	TRUE	Mike Tyson	Tie-Up Action - Attempt to Punch opponent, it gains "Enters - Stun opponent then Scout"	Mike Tyson
Mike Tyson Wrestler	Wrestler	Advanced			5		Boxer	TRUE	Mike Tyson	Tie-Up Action - Commit: Play a Punch with cost 5 or less from your Hand, Market, or Discard. It gets +2D and "Enters - Stun opponent then Scout".	Mike Tyson
Orange Cassidy Wrestler	Wrestler	Advanced 			2//6			TRUE	Orange Cassidy	Front: (Sloth) Ready Action - Commit: Reveal cards from your draw deck until you reveal a (Sloth) card, put it into your hand. Discard the rest, if none are found just shuffle your draw deck. // Staggered: Flip // Back: (Sloth) Ongoing - Your maneuvers are +1D for each (Sloth) card in your ring. 	Orange Cassidy
Patriarch	Call Name	Advanced						TRUE	Patriarch	Your Starting deck may contain one copy of the following cards: Devoted, Sacrificing, Respected, and Compassionate. 	Patriarch
Powerhouse	Call Name	Advanced			3			TRUE	Powerhouse	Your maneuvers with no printed abilities are -2C. 	Powerhouse
Ruby Soho Manager	Manager	Advanced			3			TRUE	Ruby Soho, Angelo Parker	Angelo Parker - Your Starting Hand is +1 (this does not effect your hands after your opening hand). Action - Commit : Attempt to Get a Pop, it gains "Enters - Choose one : Gain 2 Stamina or Scout."	Ruby Soho
Ruby Soho Wrestler	Wrestler	Advanced			4			TRUE	Ruby Soho	Action - Commit : Attempt to Get a Pop, it gains "Enters - Gain 2 Stamina and Scout".  Ongoing - Your Tokens are +1M.	Ruby Soho
Samoa Joe Wrestler	Wrestler	Advanced			5			TRUE	Samoa Joe 	Tie-Up Action - Commit and discard a card : Give up to two cards in your Market Sudden this turn. 	Samoa Joe
Samoan Submission Machine	Call Name	Advanced			2			TRUE	Samoan Submission Machine	Your Starting Draw Deck may include one copy of the card Sleeper and up to 3 cost worth of other cards. 	Samoan Submission Machine
Speedball	Call Name	Advanced			3			TRUE	Speedball	Your Starting Draw Deck may contain up to 4 cost of Kicks, and 3 cost of other cards	Speedball
Sting Manager	Manager	Advanced			3			TRUE	Sting	Response - Commit, Pay 2M, and discard a card: Reduce the damage of a opponent's maneuver by the discarded Momentum.	Sting
Taz Wrestler	Wrestler	Advanced			5			TRUE	Taz	Tie-Up Action - Commit: Attempt to Suplex opponent. 	Taz
The Baddest Man on the Planet	Call Name	Advanced			2		Boxer	TRUE	Baddest Man on the Planet	Ongoing - Your Punches are +1M.  Your Starting Draw Deck may contain up to 3C of Punches. 	The Baddest Man on the Planet
The Conglomeration	Faction	Advanced			3			TRUE	The Conglomeration	Flip - Pay XM. If X is 1 or more, draw a card. 3 or more gain 3 Stamina. If 5 or more you may Tuck any number of cards from your Market, refill your Market. If 7 or more put any number of cards from your discard beneath your draw deck and tuck any number of them. 	The Conglomeration
The Elite	Faction	Advanced			2			TRUE	The Elite	Flip - Draw three cards. 	The Elite
The Gov'na	Call Name	Advanced			2		Boxer	TRUE	The Gov'na	Ongoing - Your Punches are -1C.	The Gov'na
The Patriarchy	Faction	Advanced			4			TRUE	The Patriarchy	Flip - Choose a card in your Market to gain Sudden this turn, a card in your discard to gain Relentless this turn, Scout, then you may Attempt to Draw Heat. Christian Cage - You may pick an additional card from both your Market and Discard. 	The Patriarchy
The Rainmaker	Call Name	Advanced			6			TRUE	The Rainmaker	None, isn't the Momentum enough? 	The Rainmaker
The Rated-R Superstar	Call Name	Advanced			3			TRUE	The Rated-R Superstar	Your Starting Draw Deck may contain an additional copy of three 0C cards, and may contain up to 4 total cost in cards. 	The Rated-R Superstar
The Young Bucks Wrestler	Wrestler	Advanced			4		Tag Team	TRUE	The Young Bucks 	Ongoing - Your Market is +1.	The Young Bucks 
Timeless	Call Name	Advanced			1			TRUE	Timeless	Your Starting Draw Deck may include up to 3 cost worth of Actions and 2 cost of any cards.	Timeless
Vacant Wrestler	Wrestler	Advanced			3			TRUE	Vacant	For your Kit choose one maneuver, one action, and one response regardless of wrestler logo. Those cards now have your logo. 	Vacant
Wild Thing	Call Name	Advanced			1			TRUE	Wild Thing	Your Starting Draw Deck may include up to 3 cost worth of Maneuvers and 2 cost of any cards.	Wild Thing
Will Hobbs Wrestler	Wrestler	Advanced			4			TRUE	Will Hobbs	Ongoing - Your maneuvers with no printed abilities gain 'Enters - Scout'. 	Will Hobbs
Will Ospreay Wrestler	Wrestler	Advanced			5			TRUE	Will Ospreay	Ongoing - Your face down cards have Hidden.   Tie-Up Action - Commit : Play a card from your hand face down (choose a maneuver type and a target, it's a 0/2/2)	Will Ospreay
Willow Nightingale Manager	Manager	Advanced			2			TRUE	Willow Nightingale 	Trigger - At the beginning of each Recovery Phase gain 2 Stamina. 	Willow Nightingale

